mean_energy,std_energy,median_energy,top_bin_1,top_bin_2,top_bin_3,time_mean_mean,time_mean_std,file_id,species
-40.515343733685064,17.01948993205984,-38.103126525878906,55,54,56,-40.515343733685064,15.56057882588959,ML166455,american_bullfrog
-55.079907664255586,11.72952146106082,-57.367774963378906,50,49,51,-55.079907664255586,8.155241300007408,ML166456,american_bullfrog
-44.11561988646774,5.505078146671574,-43.63530158996582,59,58,51,-44.11561988646774,2.231194652569057,ML166457,american_bullfrog
-44.25905101295137,9.171856576698909,-46.3845157623291,5,51,4,-44.25905101295137,5.505639101475198,ML168994,american_bullfrog
-34.79225912797124,19.162905188823885,-31.209797859191895,5,22,21,-34.79225912797124,16.37789839507044,ML169722,american_bullfrog
-42.3021179877066,17.36831834240137,-40.37015914916992,5,4,3,-42.3021179877066,14.632247687932816,ML169723,american_bullfrog
-48.82134121148188,14.02511348157912,-47.961917877197266,4,5,0,-48.82134121148188,11.960260172460575,ML169724,american_bullfrog
-40.63308872344737,15.50324289746083,-43.45505905151367,31,30,32,-40.63308872344737,10.834595597762458,ML176270,american_bullfrog
-36.57465906282174,7.840315714304885,-38.06471061706543,51,50,52,-36.57465906282174,3.810239070876209,ML182025,american_bullfrog
-36.52102163648384,17.1015536936365,-35.43968200683594,35,36,53,-36.52102163648384,13.442904232957577,ML182123,american_bullfrog
-38.36623732813066,9.985157880153512,-40.205482482910156,44,43,39,-38.36623732813066,6.922118181245182,ML190940,american_bullfrog
-54.69626064802544,8.33610749132542,-56.14121627807617,50,51,49,-54.69626064802544,5.367069245910279,ML190984,american_bullfrog
-23.010859254859994,5.4842490796778565,-22.84622859954834,0,1,6,-23.010859254859994,1.0893122846757501,ML197092,american_bullfrog
-32.04632301063314,7.865200239951742,-33.22308921813965,45,44,46,-32.04632301063314,2.3426140474152506,ML207049,american_bullfrog
-52.261976890559815,13.55715053557964,-51.88288497924805,49,48,50,-52.261976890559815,11.692632422570055,ML207548,american_bullfrog
-47.37827207217222,20.71212401903501,-42.586246490478516,47,44,43,-47.37827207217222,15.629274173604607,ML207935,american_bullfrog
-49.07974719838725,20.822094068361153,-43.30132865905762,3,4,5,-49.07974719838725,19.85447598538203,ML214955,american_bullfrog
-57.79576468771959,9.338798109627582,-59.70176315307617,47,46,48,-57.79576468771959,6.594173547291662,ML217637,american_bullfrog
-27.613910582115366,8.66593294837038,-28.628819465637207,40,39,42,-27.613910582115366,3.1376617744076634,ML223226,american_bullfrog
-49.35203201947799,8.184666475579027,-50.51092720031738,32,6,31,-49.35203201947799,3.6593518025628167,ML224657,american_bullfrog
-61.875679184365026,22.207409099573223,-80.0,28,27,18,-61.875679184365026,21.521254703972577,ML305838,american_bullfrog
-40.263600675903454,8.951093322630502,-42.405948638916016,30,29,28,-40.263600675903454,4.5386465226541235,ML38820,american_bullfrog
-55.438420723959496,10.135681956867158,-57.128469467163086,0,62,61,-55.438420723959496,7.67558181542228,ML44552,american_bullfrog
-34.162823975864114,11.215508234007537,-36.48854446411133,60,59,61,-34.162823975864114,1.6495922961902094,ML506567291,american_bullfrog
-28.51670208194762,10.661140165374986,-28.30687141418457,39,40,3,-28.51670208194762,3.5702537805536885,ML515997,american_bullfrog
-30.339793528799667,9.691295301805063,-29.212135314941406,3,49,25,-30.339793528799667,3.8273520743022447,ML515999,american_bullfrog
-26.859647711458035,12.105434183796989,-25.366305351257324,24,25,26,-26.859647711458035,7.02622841646064,ML53182,american_bullfrog
-23.375570082177003,9.927430512811425,-20.856094360351562,27,26,28,-23.375570082177003,1.5954879894837233,ML537362,american_bullfrog
-32.696332915338175,8.432098031365697,-33.18802833557129,2,61,62,-32.696332915338175,5.745779996907124,ML56763,american_bullfrog
-34.16546411409524,13.742168424626989,-34.950016021728516,25,26,24,-34.16546411409524,5.588261598353219,ML56764,american_bullfrog
-18.786503358169302,7.932722405803861,-19.42835807800293,62,61,60,-18.786503358169302,1.2166817859768613,ML56765,american_bullfrog
-19.18114013627621,4.546088115703142,-19.106209754943848,6,7,24,-19.18114013627621,1.7712598917950717,ML56766,american_bullfrog
-36.197564870533974,8.435504904725699,-37.80015563964844,4,3,29,-36.197564870533974,6.316368756030889,ML56767,american_bullfrog
-37.79695182264266,8.579575816986969,-40.13240432739258,22,37,36,-37.79695182264266,4.579473315462348,ML60450,american_bullfrog
-36.60629267022532,9.952381046983355,-37.24944305419922,47,48,46,-36.60629267022532,5.290685805673416,ML631931107,american_bullfrog
-51.42126705374768,25.038710644190832,-38.72236442565918,43,42,21,-51.42126705374768,23.815966880981957,ML635010771,american_bullfrog
-66.04376184577316,20.406926842170385,-80.0,58,59,57,-66.04376184577316,20.12693603212064,ML635243949,american_bullfrog
-74.72423459962874,16.148129597810307,-80.0,55,0,54,-74.72423459962874,16.014745031469616,ML635289047,american_bullfrog
-39.49779334795724,9.914908376968313,-41.10574150085449,48,47,0,-39.49779334795724,4.99755575502209,ML635751089,american_bullfrog
-32.067058172759765,8.044033533827735,-34.59095001220703,1,2,0,-32.067058172759765,3.050777258846124,ML635850760,american_bullfrog
-70.87538539645912,19.997363559420325,-80.0,1,2,0,-70.87538539645912,19.695417026339133,ML635850761,american_bullfrog
-36.930082222321474,8.859958889247475,-38.83413505554199,50,51,49,-36.930082222321474,3.9139333926010527,ML635850762,american_bullfrog
-52.63169728758855,18.444147509676192,-45.51375961303711,0,1,2,-52.63169728758855,17.525756569203804,ML635913049,american_bullfrog
-23.025653005640287,4.665563656889725,-22.868581771850586,45,44,46,-23.025653005640287,1.5847087832003384,ML635913331,american_bullfrog
-32.68994136254915,10.984673129826465,-33.20079040527344,38,37,39,-32.68994136254915,4.767470946809709,ML636097123,american_bullfrog
-28.3847697605044,8.855309951538164,-28.640140533447266,5,6,3,-28.3847697605044,4.035487217103381,ML636470086,american_bullfrog
-32.83072980073239,6.011438361024199,-34.23282241821289,4,26,27,-32.83072980073239,3.5172133670571313,ML636537335,american_bullfrog
-37.34387368012194,6.986672962489193,-38.37480545043945,49,48,47,-37.34387368012194,2.8672733176209793,ML636668015,american_bullfrog
0.0,0.0,0.0,63,62,61,0.0,0.0,ML636778722,american_bullfrog
-72.17120361590884,18.469125350093545,-80.0,44,42,43,-72.17120361590884,18.075003885785275,ML636850112,american_bullfrog
-54.67764444317314,22.329032858012344,-45.046621322631836,28,47,27,-54.67764444317314,21.44504234895777,ML636893440,american_bullfrog
-72.39273470387796,20.198631184548226,-80.0,17,19,18,-72.39273470387796,20.023910071629334,ML636895662,american_bullfrog
-28.737701617215876,8.63736417589877,-29.522929191589355,4,11,14,-28.737701617215876,2.47511359398132,ML636951373,american_bullfrog
-48.088981303911474,21.46346950694447,-39.87951850891113,19,18,20,-48.088981303911474,20.74693536845309,ML637199584,american_bullfrog
-21.306262298000938,5.921302870921526,-21.786141395568848,23,22,24,-21.306262298000938,2.02602871581431,ML637203690,american_bullfrog
-37.51369055096069,8.956062935465326,-39.53792953491211,38,40,37,-37.51369055096069,1.3815136651542148,ML637268706,american_bullfrog
-38.13920772490535,7.095468116793489,-39.390676498413086,0,54,53,-38.13920772490535,2.866441815544642,ML637330865,american_bullfrog
-36.12617425900601,6.074924252459548,-36.049293518066406,47,48,49,-36.12617425900601,2.389024474104639,ML637436864,american_bullfrog
-60.48000847384022,23.959376247904736,-80.0,4,6,3,-60.48000847384022,22.240099822989,ML637656503,american_bullfrog
-27.585390043352014,5.4531739198754385,-28.28386878967285,48,49,46,-27.585390043352014,1.8265892747280805,ML637801887,american_bullfrog
-58.81305846686015,24.337115106198695,-80.0,0,1,6,-58.81305846686015,24.05715940532082,ML637880043,american_bullfrog
-17.280950974059355,8.542442877357836,-15.729567050933838,49,45,46,-17.280950974059355,7.575058217909421,ML638207168,american_bullfrog
-69.66410313518999,15.541717919002005,-80.0,42,55,56,-69.66410313518999,14.774144226069643,ML638334661,american_bullfrog
-30.029095070129756,9.532590623783245,-29.056509017944336,28,29,15,-30.029095070129756,1.9007418190181973,ML638427553,american_bullfrog
-43.06396419311206,10.277423235843562,-46.55751609802246,3,24,2,-43.06396419311206,6.44525503807935,ML638774274,american_bullfrog
-76.77337989008828,12.329166170472698,-80.0,49,48,50,-76.77337989008828,11.884228672857919,ML638986344,american_bullfrog
-32.892552823519765,9.45159218301985,-33.90052795410156,53,52,54,-32.892552823519765,3.061675417760995,ML639174041,american_bullfrog
-38.50671056360698,12.271106770371437,-43.33041191101074,20,19,18,-38.50671056360698,9.749088219277754,ML639251875,american_bullfrog
-49.811788783618304,21.194426170215806,-41.78845405578613,53,52,56,-49.811788783618304,19.86226417899605,ML639661483,american_bullfrog
-33.371373551558456,7.929042214209046,-32.92665481567383,15,16,19,-33.371373551558456,2.44179429570125,ML639821741,american_bullfrog
-34.057281544669735,8.729065964991445,-35.1876277923584,45,44,46,-34.057281544669735,4.8504851910395015,ML640310924,american_bullfrog
-54.01644515211579,23.03001566257509,-53.87105178833008,57,56,58,-54.01644515211579,20.480934609991067,ML640526452,american_bullfrog
-43.06316293919515,14.823109113556406,-48.9928092956543,3,24,22,-43.06316293919515,11.059967673798647,ML79082,american_bullfrog
-23.38589629242218,4.052627999544768,-23.490678787231445,0,26,25,-23.38589629242218,1.7489043415130918,XC1001883_-_American_Bullfrog_-_Aquarana_catesbeiana,american_bullfrog
-40.786390435858145,7.762717961713571,-40.89251708984375,38,21,37,-40.786390435858145,3.0282239371130206,XC1012930_-_American_Bullfrog_-_Aquarana_catesbeiana,american_bullfrog
-25.919375842190814,6.8290783278168155,-27.86933708190918,27,28,3,-25.919375842190814,4.118043850082848,XC883640_-_American_Bullfrog_-_Aquarana_catesbeiana,american_bullfrog
-43.467532032050556,6.530903927392358,-44.65796089172363,49,57,50,-43.467532032050556,2.6653153220092975,XC883676_-_American_Bullfrog_-_Aquarana_catesbeiana,american_bullfrog
-48.53430647487707,26.936325257126228,-37.38562774658203,26,33,30,-48.53430647487707,13.733989264889962,XC894001_-_American_Bullfrog_-_Aquarana_catesbeiana,american_bullfrog
-29.578626504059873,7.67500931087727,-31.219913482666016,61,28,60,-29.578626504059873,3.933884103086771,XC899237_-_American_Bullfrog_-_Aquarana_catesbeiana,american_bullfrog
-43.318023114255574,11.21491671744839,-43.73779296875,47,48,40,-43.318023114255574,4.775678698763395,XC961812_-_American_Bullfrog_-_Aquarana_catesbeiana,american_bullfrog
-37.36030531425695,9.494006071843462,-40.71084403991699,5,6,3,-37.36030531425695,5.251243253069296,XC976730_-_American_Bullfrog_-_Aquarana_catesbeiana,american_bullfrog
-28.371790583234652,9.470108094619624,-28.95945644378662,19,24,20,-28.371790583234652,3.54549638677441,XC979345_-_American_Bullfrog_-_Aquarana_catesbeiana,american_bullfrog
-30.989561622007265,8.830816246793548,-31.17780113220215,22,21,23,-30.989561622007265,3.7086248263277097,XC982097_-_American_Bullfrog_-_Aquarana_catesbeiana,american_bullfrog
-46.17579419482197,14.929760970457217,-47.898704528808594,27,26,28,-46.17579419482197,1.335351419897411,125186,american_toad
-68.90550145499944,17.020434584510344,-73.45597457885742,28,27,29,-68.90550145499944,1.9226703574829325,51-American-Toad-call,american_toad
-48.33591502158105,13.336128870824865,-50.558122634887695,27,28,26,-48.33591502158105,3.7793228397720378,American_toad_(Bufo_americanus)_calling,american_toad
-42.628514239032974,12.226399448425937,-46.08636474609375,26,27,25,-42.628514239032974,1.4589274654762838,American_Toad_-_calling,american_toad
-73.82860714943945,15.902734950499934,-80.0,27,28,26,-73.82860714943945,1.2635556777546886,American_Toad___Bufo_americanus,american_toad
-61.95166321133378,17.772750407545875,-65.1010513305664,28,27,26,-61.95166321133378,6.981279690523488,American_toad_call,american_toad
-48.72955947723715,15.262362174312615,-52.474403381347656,32,31,30,-48.72955947723715,2.446388642905771,American_Toad_Calling,american_toad
-55.34681712820469,17.597729707496843,-56.49460792541504,29,28,30,-55.34681712820469,10.27949674852501,American_toad_calling_sounds,american_toad
-57.346426538448874,16.587634590758604,-60.150808334350586,38,39,37,-57.346426538448874,1.5701845090324058,dlg_ggpd_n200-g2-m1-2003-c3-track-70,american_toad
-71.06840791309516,17.267258602084453,-80.0,28,27,29,-71.06840791309516,1.3157044026112994,dlg_ggpd_n200-g2-m1-2013-c3-track-51,american_toad
-57.373733837581014,16.604438264655514,-60.19028854370117,38,39,37,-57.373733837581014,1.525329943403584,dlg_ggpd_n200-g2-m1-2013-c3-track-72,american_toad
-58.726741148016295,18.296014698904642,-64.48981094360352,39,38,37,-58.726741148016295,1.9195333459220567,dlg_ggpd_n200-g2-m1-2013-c3-track-74,american_toad
-49.56998199245216,17.154850565925344,-51.23503494262695,39,38,40,-49.56998199245216,1.6654732231611455,dlg_ggpd_n200-g2-m1-2013-c3-track-76,american_toad
-60.27748027405855,17.022439702538797,-65.79640197753906,28,29,27,-60.27748027405855,5.728712907015003,ML176113,american_toad
-52.67684966184009,18.40848352716094,-53.52002143859863,30,29,31,-52.67684966184009,5.120386715383151,ML176165,american_toad
-58.461525337118005,17.20733286935908,-61.5283203125,31,30,32,-58.461525337118005,2.7568959735133007,ML176166,american_toad
-49.40565655209349,17.062461501882744,-51.074607849121094,26,27,25,-49.40565655209349,2.245916663153572,ML178993,american_toad
-56.24440556284031,16.871372458268862,-58.69826126098633,38,37,39,-56.24440556284031,3.9459332778398974,ML178994,american_toad
-59.78642401797589,14.418200406050644,-63.08310127258301,28,27,29,-59.78642401797589,6.860266975917473,ML178995,american_toad
-61.786404813110416,11.597301412143992,-64.73767471313477,27,28,26,-61.786404813110416,4.011798909082949,ML178996,american_toad
-56.290752730174574,16.75569548696821,-58.80903244018555,29,28,27,-56.290752730174574,2.7790441968470843,ML178997,american_toad
-54.13907816805585,16.151931022339895,-54.81512260437012,26,27,25,-54.13907816805585,11.038358424781016,ML179004,american_toad
-61.27670391547016,15.227852804308093,-64.15865325927734,28,27,26,-61.27670391547016,7.478353124441693,ML179005,american_toad
-53.44647958549712,16.426817481369664,-56.14746856689453,24,37,25,-53.44647958549712,6.345855866221997,ML179010,american_toad
-45.51213600031876,11.742582013947766,-44.741424560546875,37,36,38,-45.51213600031876,1.4566405807494838,ML179012,american_toad
-57.3654043686224,14.64367914954295,-58.983835220336914,38,37,39,-57.3654043686224,10.181260313143587,ML179013,american_toad
-61.80457922242357,15.675099508739384,-64.48847961425781,28,27,29,-61.80457922242357,7.451018221166824,ML179014,american_toad
-59.04664553356143,16.23082066449633,-60.52434539794922,38,39,27,-59.04664553356143,9.691159576758553,ML179015,american_toad
-60.216814037265465,15.436587651185404,-63.783870697021484,38,39,37,-60.216814037265465,8.442894801089128,ML179016,american_toad
-59.44087548837446,13.284400367881807,-63.14823532104492,38,39,37,-59.44087548837446,5.105046707689997,ML179017,american_toad
-62.27472913324003,13.221068925343943,-62.83477020263672,38,39,37,-62.27472913324003,4.906620972636024,ML179018,american_toad
-59.28882409269185,15.398721361616431,-62.76649284362793,28,27,38,-59.28882409269185,4.293530915752481,ML179020,american_toad
-47.74806762128861,19.21253702277279,-50.46497344970703,38,39,37,-47.74806762128861,14.16516936483151,ML179021,american_toad
-52.22602877878258,16.488669989973026,-54.798648834228516,26,27,25,-52.22602877878258,4.496151677392242,ML179022,american_toad
-55.22697358199864,15.731064512007473,-54.590017318725586,38,39,37,-55.22697358199864,12.531367686932793,ML179117,american_toad
-48.519170278843205,16.314842475880727,-50.406925201416016,27,28,26,-48.519170278843205,2.250020496389591,ML179120,american_toad
-50.902992990516175,11.686527776672596,-53.08799362182617,38,27,39,-50.902992990516175,3.485501299483709,ML179124,american_toad
